user_id,video_id,user_interests,watch_ratio,watch_time,liked
1,666b6aeb26d2715177ba7dd2d5230d61,Gaming,0.1,2.84,0
1,4f3eab1c62f4184a6965edc95d38c1c7,Gaming,0.3,3.88,0
1,075ecd26abf8f920dc30a3da81c616f8,Gaming,0.26,9.63,0
1,325dc90fcdf7f8123fabb09ebed208e8,Gaming,0.18,4.64,0
1,ebd9140ae94ba6daf33e189c3ccb4328,Gaming,0.03,0.81,0
1,1e7695fc6bb0f9d84ec0f3a4ef005c20,Gaming,0.18,4.95,0
1,da7d3b36b35a4bfd4240817e652fb52c,Gaming,0.24,4.7,0
1,10c83bca50a274e479f3d0edb59d8186,Gaming,0.19,11.08,0
1,55a638af08e3b817d015629a7ee6fdb4,Gaming,0.18,5.08,0
1,8023acbc71dc398c552a76e257b58b00,Gaming,0.09,2.65,0
1,7c4cb8c70d309c2456fdf40132b793c9,Gaming,0.25,6.91,0
1,1bfb588357d992b5539f4ca7152bb9ca,Gaming,0.6,20.52,0
1,c22ce3139112d54d1cedf9e5c2325ced,Gaming,0.72,20.29,1
1,3adc63f63dbafecb4aced9dffd8668cc,Gaming,0.21,10.41,0
2,9cf9287b1aa0212307658578401de31d,Beauty|Gaming,0.09,1.04,0
2,53ef38987eece9b6b6d96b8d0bfcc6b0,Beauty|Gaming,0.02,0.89,0
2,c600d4e2ca1e91b21528625bdcac14da,Beauty|Gaming,0.22,4.86,0
2,4cbd6c5b86ea3c2a3d758540aa13f530,Beauty|Gaming,1.09,24.0,0
2,330aec82e509a50f439b16c350bfeb28,Beauty|Gaming,0.55,15.27,0
2,df1c286ec657b8f0e1b8b94e26da714b,Beauty|Gaming,0.08,3.17,0
2,50fe3e373104beb29669f26765868fa6,Beauty|Gaming,0.07,1.25,0
2,3f5265ac9cbf383443f29837c02d9a41,Beauty|Gaming,0.69,6.85,0
2,3095f6692ec8b6cc3d6a00ffe56334ea,Beauty|Gaming,1.12,37.0,1
2,818d68d0159e6c99d59f44b956b26f71,Beauty|Gaming,0.67,28.07,0
2,321d42a143956dc23d169563d72bf66b,Beauty|Gaming,0.29,13.98,0
2,57064c25d1a8471a2da75cdfbdc5bedb,Beauty|Gaming,0.4,11.69,0
2,1bbba07447245a0b46582ad466f7e112,Beauty|Gaming,0.01,0.24,0
2,782d40bb6e19fde3f0bb6a0ada6641fa,Beauty|Gaming,0.17,9.1,0
3,5204f87884b5fd644d5bd42b2c46972c,Travel|Music|Pets|Education,1.15,25.0,0
3,e2098b6d5e9960abefa66d8b96a58fd4,Travel|Music|Pets|Education,0.15,3.25,0
3,bbe957f310afd204612c92ddde768386,Travel|Music|Pets|Education,0.22,3.37,0
3,1e3f2a7357af75024849730b4404354a,Travel|Music|Pets|Education,1.0,25.97,1
3,a0071454b79b315667ae2bf7ded1a2dc,Travel|Music|Pets|Education,0.29,8.84,0
3,104ec9d80ed89c1ae05ef436fea8a1e4,Travel|Music|Pets|Education,0.26,13.03,0
4,8fa6f375867c896232a4b04788de60fc,Fashion|Travel|Dance,0.25,7.22,0
4,5479d79e68a3b172c51c6a6ad95fd861,Fashion|Travel|Dance,0.1,2.08,0
4,c315e9f13fdf652bd887af64c4ff7dcd,Fashion|Travel|Dance,0.08,1.39,0
4,383fce3301150fe9fc497acb5e108d1c,Fashion|Travel|Dance,0.04,1.26,0
4,e4a43c85e1db9bcf3cf27bf172d976e7,Fashion|Travel|Dance,0.12,3.16,0
4,8c43534bf612624eb825590495ff39cc,Fashion|Travel|Dance,0.15,7.73,0
4,6005e8e222671824476e2cf0ee843e2d,Fashion|Travel|Dance,1.05,33.0,0
4,34c9ff3854723e2fd8572a12644a6650,Fashion|Travel|Dance,0.1,1.86,0
4,3f5ffebdfa119c3a73d6da4f4020dd2e,Fashion|Travel|Dance,0.21,3.21,0
4,e2d19c2380297fa58a72b3b40907ba09,Fashion|Travel|Dance,0.07,2.04,0
4,bb7f25f2c37aa0b0cc5eadab566ee934,Fashion|Travel|Dance,0.18,2.39,0
4,bd6dc0dcf7fb3bbcd38dd6108d27be38,Fashion|Travel|Dance,0.09,3.49,0
5,c32806d8b69e0586e6d89c4dec6ef0c7,Music|Lifestyle|Beauty|Comedy,1.07,47.0,0
5,58b07662daf54e2a97ed822a48647fd3,Music|Lifestyle|Beauty|Comedy,0.2,6.85,0
5,bbe957f310afd204612c92ddde768386,Music|Lifestyle|Beauty|Comedy,0.91,13.66,0
5,c137c7a68c9f5fc3e656b2198527639c,Music|Lifestyle|Beauty|Comedy,1.08,14.0,1
5,c17b67567d22f47753b6274e635850b0,Music|Lifestyle|Beauty|Comedy,1.16,11.0,1
6,b90ffe4019182e2b4347b2a62a175b53,Fashion,0.01,0.61,0
6,110010e5ff16d86386c55e3e20b9fe63,Fashion,0.22,11.71,0
6,3e9b08e1325ff6ebc73a0b278454f187,Fashion,1.03,16.0,1
6,2ee688ab460c3293eb7e802a71862739,Fashion,0.22,5.53,0
6,0d171cc6f95b69c0bbc450d0a6d1d9cb,Fashion,0.21,7.17,0
6,c909cbf6f82a78e672e50f98c859aaa8,Fashion,0.94,18.74,1
6,e2b0bb56daa5cd0d29e623793ac7e357,Fashion,0.44,14.55,0
7,4671077ddbba742c0863a2dd291bfd6d,Gaming|Lifestyle|Sports,0.28,6.72,0
7,8b7a81c2954750824ff7b130df2d4611,Gaming|Lifestyle|Sports,0.19,3.4,0
7,32af872b8af002c950c03ad6208306d8,Gaming|Lifestyle|Sports,0.25,12.56,0
7,ca52ac8b774bc5c3049376ee76001426,Gaming|Lifestyle|Sports,0.3,5.06,0
8,6a6aeee51fe446343beeae68fd1a043b,Travel|Comedy|Fashion,1.12,41.0,1
8,0e6ee706f1226c2a4a8cb736763a1cef,Travel|Comedy|Fashion,0.28,6.49,0
8,8b6037f0309e1ad396d5944e4accb1f8,Travel|Comedy|Fashion,0.2,3.9,0
8,75f26603b855bccd204970ce107582ce,Travel|Comedy|Fashion,0.15,7.9,0
8,731ea41f8019a1cd9f431c6e34074fba,Travel|Comedy|Fashion,0.1,1.95,0
8,67229e7f09089f8451d02d1881290e9a,Travel|Comedy|Fashion,0.17,3.48,0
9,d55f7f3398605cdfa2d1de10895c6761,Beauty|Comedy|Lifestyle,0.71,32.45,0
9,e832cc60cfeea1f4b59636f5942d1552,Beauty|Comedy|Lifestyle,0.17,3.31,0
9,765c1abb1018a11c79d9fc60339d3d05,Beauty|Comedy|Lifestyle,0.26,4.85,0
9,1c21f9030b22b36f6fd3c6e87849442e,Beauty|Comedy|Lifestyle,0.89,13.31,1
9,936f988a4119802a485cd5276bd8f473,Beauty|Comedy|Lifestyle,0.17,2.54,0
9,2721480ad1f158d1c9400b6ed40a51bd,Beauty|Comedy|Lifestyle,0.01,0.33,0
10,35ab04dc45c76593e14c9e041e02a6e1,Sports,0.19,3.89,0
10,c76e30a18a5bdaa11dfeea092221af1c,Sports,0.12,3.08,0
10,9ce5f495bad25fb574ac2bba67a4a920,Sports,0.04,1.19,0
10,103b6957f929e65862f5c849e990f946,Sports,0.26,6.45,0
10,d96439e8bf795e3a4058bf780eb90187,Sports,0.27,7.39,0
10,d466097f75a9f2b05c3b9f9097fc22eb,Sports,0.14,1.88,0
10,f8d7f28c69c960ea3c5013510dda5231,Sports,0.15,4.24,0
10,4575225053d1c24d622e40815a74b262,Sports,0.04,0.92,0
11,65033dded12b21b0338f4b450f224700,Tech|DIY|Music|Beauty,0.11,4.71,0
11,be1598cf13a8b28b48ba9aabf4d3d5e9,Tech|DIY|Music|Beauty,0.05,0.77,0
11,c35f9adb3ea268c72a31135fff7cd293,Tech|DIY|Music|Beauty,0.04,0.51,0
11,a5e6d058ecfe62fa8f8e20c8394ec173,Tech|DIY|Music|Beauty,0.81,28.39,1
12,2681d2bcf67a21137d2cc66d907f375b,Gaming|Food,0.29,11.47,0
12,f64c08a5a10ed57d0b253742ab61e540,Gaming|Food,0.17,7.07,0
12,7a4970f86f26786e1f8cff902315aa6d,Gaming|Food,0.23,6.24,0
12,7825a4df59ab16dd78e8433e779e9206,Gaming|Food,0.17,5.05,0
12,105475ec770d4c76084b5c87722659c9,Gaming|Food,0.42,7.08,0
12,56ea68c0bd14320654ee43fa74a3aa68,Gaming|Food,0.2,5.46,0
12,4f3eab1c62f4184a6965edc95d38c1c7,Gaming|Food,0.18,2.33,0
12,56d042631b6b465c034e92c613486c58,Gaming|Food,0.22,3.3,0
12,2fe86202d467283fa86f50f8d4369079,Gaming|Food,0.07,1.36,0
12,4f550e6b84e62adac58a9c5c744f250d,Gaming|Food,0.09,2.76,0
12,e9b0390700b19e2995b29c3325a68700,Gaming|Food,0.77,24.02,0
13,ee99a2e0c31f708bc3a50bd475cee3be,Pets|Lifestyle,0.92,11.96,1
