row_id,title,tags,hashtag,genre,duration_sec,views,likes,comments,shares,platform,text_features
94d9662e9a3cb3c97fab4e9de4cdd88c,Pro Tips for Fortnite in 60s,highlights  valorant  esports  clips  gaming  fps,Streamer,Gaming,35,69482,4760,729,401,TikTok,Pro Tips for Fortnite in 60s highlights  valorant  esports  clips  gaming  fps Streamer Gaming
113a021d1d908fa091eec348ef9e4398,Night Routine  Summer,motivation  lifestyle  daily  routine,Lifestyle,Lifestyle,29,218642,12608,1245,992,TikTok,Night Routine  Summer motivation  lifestyle  daily  routine Lifestyle Lifestyle
6386b7d6a9b234fd4677a4839a275d00,Morning Routine  Beginners,routine  daily  lifestyle,FYP,Lifestyle,16,89510,7851,783,801,TikTok,Morning Routine  Beginners routine  daily  lifestyle FYP Lifestyle
c137c7a68c9f5fc3e656b2198527639c,Perfect  Cover ,song  cover  beat  music,Music,Music,14,41234,2028,183,255,TikTok,Perfect  Cover  song  cover  beat  music Music Music
ca81fcf65519182a38438938fde0447e,Best Settings for EA FC 25 ,fps  valorant  esports,GameClip,Gaming,26,24810,1646,139,164,TikTok,Best Settings for EA FC 25  fps  valorant  esports GameClip Gaming
1ea0274e8c4fc1403beaa1819d2bc6f2,Insane EA FC 25 Highlights! ,fps  highlights  esports  clips  gaming  valorant,Esports,Gaming,38,178074,9905,1164,1061,TikTok,Insane EA FC 25 Highlights!  fps  highlights  esports  clips  gaming  valorant Esports Gaming
721a3cabcb3df1f090301cfbe9270b54,Morning Routine  Budget ,daily  lifestyle  routine  motivation,Lifestyle,Lifestyle,11,18246,903,139,64,TikTok,Morning Routine  Budget  daily  lifestyle  routine  motivation Lifestyle Lifestyle
08319499e9245278c827bd11751527ea,Dog fails you cant miss,pets  cute  dogs,FYP,Pets,15,26261,1668,202,209,TikTok,Dog fails you cant miss pets  cute  dogs FYP Pets
cca13af2144891391afc56ca18354efd,Workout you cant skip ,sports  football  gym,FYP,Sports,46,49185,3100,281,207,TikTok,Workout you cant skip  sports  football  gym FYP Sports
27b0dbb0c1235a1281422b8c04fc86b7,Underrated artists to hear ,beat  song  cover,Cover,Music,17,14849,1134,92,98,TikTok,Underrated artists to hear  beat  song  cover Cover Music
7f4b6a04c36db36f52f06859e71af1f1,Try this move ,trend  music  challenge  dance,FYP,Dance,12,42190,2583,319,348,TikTok,Try this move  trend  music  challenge  dance FYP Dance
e48b6035501713784a859e02128c2d10,POV: Budget ,sketch  relatable  funny,Relatable,Comedy,35,309340,19580,2292,1410,TikTok,POV: Budget  sketch  relatable  funny Relatable Comedy
f8c185c00ddf8a876721b00d03d03f60,Hidden Gems of London,hidden gems  travel  vlog  guide,Wanderlust,Travel,34,558619,21973,3421,1603,TikTok,Hidden Gems of London hidden gems  travel  vlog  guide Wanderlust Travel
1bfb588357d992b5539f4ca7152bb9ca,Street Croissant Taste Test ,street food  kitchen  food,Recipe,Food,34,80903,3952,320,502,TikTok,Street Croissant Taste Test  street food  kitchen  food Recipe Food
0576251d9ccdd9952cd11f436c9e919e,Speed drills for beginners,workout  football  sports,FYP,Sports,22,89196,4550,496,394,TikTok,Speed drills for beginners workout  football  sports FYP Sports
bd6dc0dcf7fb3bbcd38dd6108d27be38,Build This in 10 Minutes,ai  tech  tools,AI,Tech,41,62090,5071,560,445,TikTok,Build This in 10 Minutes ai  tech  tools AI Tech
8ab6b49809a78f38489c013f96d05ddb,Dog fails you cant miss,pets  cute  cats  dogs,DogTok,Pets,28,143718,7035,741,715,TikTok,Dog fails you cant miss pets  cute  cats  dogs DogTok Pets
2b5f8ecf5a3f8b49a97cb568130624c0,My Favorite 2025 Apps,apps  tools  tutorial  ai,Coding,Tech,26,101955,9089,748,1016,TikTok,My Favorite 2025 Apps apps  tools  tutorial  ai Coding Tech
a4c98441567843fe624bd2e98788d246,Outfits for Minimal,fashion  style  ootd  grwm,OOTD,Fashion,37,69001,7205,809,929,TikTok,Outfits for Minimal fashion  style  ootd  grwm OOTD Fashion
27739a30822189d550131487a1ab451b,24 Hours in Paris ,vlog  guide  hidden gems  travel,Wanderlust,Travel,35,14272,573,59,50,TikTok,24 Hours in Paris  vlog  guide  hidden gems  travel Wanderlust Travel
ff0500c06aa5543544d538a7d7307db6,Football skills in 60s ,sports  workout  gym,Football,Sports,21,30877,1834,207,123,TikTok,Football skills in 60s  sports  workout  gym Football Sports
119fefc118e456ddcc555197f292a5f4,Skincare Routine for Minimal ,makeup  tips  grwm,Makeup,Beauty,14,135166,6889,519,769,TikTok,Skincare Routine for Minimal  makeup  tips  grwm Makeup Beauty
46ce28e376054c69004cb3f0dafb17f4,Makeup Basics You Need,makeup  grwm  tips  beauty  skincare,GRWM,Beauty,11,33223,1433,155,191,TikTok,Makeup Basics You Need makeup  grwm  tips  beauty  skincare GRWM Beauty
30fc2d20cfa8429984e61e10c8a2ee05,Skincare Routine for Minimal,beauty  skincare  makeup  grwm,Beauty,Beauty,12,330569,24557,1603,2578,TikTok,Skincare Routine for Minimal beauty  skincare  makeup  grwm Beauty Beauty
c226f7c7fdf2b264196e609c11f4d82e,Outfits for Minimal ,style  fashion  grwm  ootd,Fashion,Fashion,34,29052,1393,154,156,TikTok,Outfits for Minimal  style  fashion  grwm  ootd Fashion Fashion
ac8504edbaa2d1c5933513f17390e771,Blinding Lights  Cover ,music  beat  cover  song,FYP,Music,57,155613,12748,1107,851,TikTok,Blinding Lights  Cover  music  beat  cover  song FYP Music
e5b8da960b5050646ea01b06e8f08e01,My cat did this  ,pets  dogs  cute  cats,CatTok,Pets,23,32858,1932,191,228,TikTok,My cat did this   pets  dogs  cute  cats CatTok Pets
a16ff93b8db500e44c1173d3601b696f,Pro Tips for EA FC 25 in 60s ,esports  fps  clips  valorant  gaming,FYP,Gaming,12,44885,2634,307,265,TikTok,Pro Tips for EA FC 25 in 60s  esports  fps  clips  valorant  gaming FYP Gaming
bf9b21ed746468237bb83a2b5a23031b,Outfits for Evening ,grwm  ootd  fashion  style,FYP,Fashion,12,582134,36757,3848,3289,TikTok,Outfits for Evening  grwm  ootd  fashion  style FYP Fashion
d83f138e04259c98212de22f7c121f74,POV: 2025 ,relatable  comedy  sketch  funny,Comedy,Comedy,22,676524,42813,4701,3186,TikTok,POV: 2025  relatable  comedy  sketch  funny Comedy Comedy
ba19d5f26006fd96710249dedebad7ab,GRWM: Evening Edition ,ootd  style  grwm  fashion,Fashion,Fashion,58,59661,3269,476,233,TikTok,GRWM: Evening Edition  ootd  style  grwm  fashion Fashion Fashion
4646f81061b14d6f298ba9581d8701e1,Football skills in 60s ,gym  sports  workout,Football,Sports,38,46011,2927,397,190,TikTok,Football skills in 60s  gym  sports  workout Football Sports
c9715151c38281e3b6b7eb9a0c11bdd4,GRWM  Minimal Look  ,tips  skincare  beauty,Makeup,Beauty,51,13028,827,118,72,TikTok,GRWM  Minimal Look   tips  skincare  beauty Makeup Beauty
4440fe4fd718bc017e5d116224d266c5,Dog fails you cant miss ,cats  pets  cute  dogs,FYP,Pets,42,258736,23876,1651,3054,TikTok,Dog fails you cant miss  cats  pets  cute  dogs FYP Pets
cfaf45538268f0816f7a1be236ae2b9e,My cat did this ,dogs  cats  cute  pets,CatTok,Pets,32,4316,249,28,29,TikTok,My cat did this  dogs  cats  cute  pets CatTok Pets
886ab834bf3d302173bbc36489ddc139,Outfits for Office ,style  grwm  ootd  fashion,FYP,Fashion,24,76751,3798,232,385,TikTok,Outfits for Office  style  grwm  ootd  fashion FYP Fashion
83b235dbe6ad89a66b689bace90d129f,Workout you cant skip,gym  sports  football,Football,Sports,24,411669,28402,2700,2098,TikTok,Workout you cant skip gym  sports  football Football Sports
eb77f630f0c2dce66ebcddb96c1f3bdc,Morning Routine  Beginners ,routine  lifestyle  motivation,FYP,Lifestyle,31,23608,1313,188,156,TikTok,Morning Routine  Beginners  routine  lifestyle  motivation FYP Lifestyle
75f26603b855bccd204970ce107582ce,Dog fails you cant miss ,cats  dogs  pets  cute,Pets,Pets,53,37514,2269,209,178,TikTok,Dog fails you cant miss  cats  dogs  pets  cute Pets Pets
75c800ebe0c269eff213b2485489b36d,Cutest moments today ,cats  cute  dogs,FYP,Pets,27,43570,2577,214,242,TikTok,Cutest moments today  cats  cute  dogs FYP Pets
8412e8aace2c976d5d410f3ef2f33c4c,I flipped this sample ,music  song  cover  beat,Cover,Music,17,23200,1741,212,208,TikTok,I flipped this sample  music  song  cover  beat Cover Music
18915ab0ad75237f79f01e7c19dc4157,Best Settings for GTA V,fps  esports  highlights  gaming  clips,FYP,Gaming,34,25030,1440,169,168,TikTok,Best Settings for GTA V fps  esports  highlights  gaming  clips FYP Gaming
5977ef426904c225176c09f4a945140c,Skincare Routine for Evening ,tips  makeup  beauty,Makeup,Beauty,21,79646,4897,516,491,TikTok,Skincare Routine for Evening  tips  makeup  beauty Makeup Beauty
2d7344e2397c2749cceb5321e5e46a36,Study With Me  College ,learn  tips  productivity  notes,BookTok,Education,20,26918,1564,190,209,TikTok,Study With Me  College  learn  tips  productivity  notes BookTok Education
3be3f88a7e4520017d9987b912f7c76e,24 Hours in Istanbul,travel  vlog  hidden gems  guide  food tour,HiddenGems,Travel,30,47024,2245,349,316,TikTok,24 Hours in Istanbul travel  vlog  hidden gems  guide  food tour HiddenGems Travel
6e33ac7dde20dccf14a0c6c5c571793e,Hidden Gems of New York ,travel  hidden gems  guide  vlog,FYP,Travel,38,109489,5204,316,569,TikTok,Hidden Gems of New York  travel  hidden gems  guide  vlog FYP Travel
873e55242dbca45c687b2e61ef1d3944,Dance With Me  Bold,challenge  music  trend  dance,DanceChallenge,Dance,22,166535,15661,2475,2168,TikTok,Dance With Me  Bold challenge  music  trend  dance DanceChallenge Dance
615f1f27144a7356ccae146b4c60584f,Makeup Basics You Need ,skincare  makeup  grwm,Makeup,Beauty,29,15974,1480,171,168,TikTok,Makeup Basics You Need  skincare  makeup  grwm Makeup Beauty
dbc0635233a703ea6c9cf0f4c9827fea,Night Routine  Budget ,lifestyle  motivation  routine  daily,Lifestyle,Lifestyle,39,1402162,97370,13617,7945,TikTok,Night Routine  Budget  lifestyle  motivation  routine  daily Lifestyle Lifestyle
5072d06586dbabccb931ffe765137490,Build This in 10 Minutes ,tech  tutorial  apps  ai,Tech,Tech,29,70045,9255,827,971,TikTok,Build This in 10 Minutes  tech  tutorial  apps  ai Tech Tech
9bf1b7ad48564ffcf9e3b0e5183511cb,Study With Me  Budget,notes  productivity  learn  study  tips,StudyWithMe,Education,31,46841,2244,187,202,TikTok,Study With Me  Budget notes  productivity  learn  study  tips StudyWithMe Education
05ce45ede0757e031e3e098b2b06c93b,GRWM  Summer Look  ,skincare  tips  makeup  beauty  grwm,Beauty,Beauty,56,13655,1135,158,70,TikTok,GRWM  Summer Look   skincare  tips  makeup  beauty  grwm Beauty Beauty
d1fcd87bfbeb132548bbffa22ddd9e48,Workout you cant skip ,football  sports  workout  gym,Workout,Sports,21,57265,3737,321,443,TikTok,Workout you cant skip  football  sports  workout  gym Workout Sports
b7f450fe4371e9f832720c70bd6c1c57,New Dance Challenge! ,challenge  music  trend,FYP,Dance,23,31291,2516,221,155,TikTok,New Dance Challenge!  challenge  music  trend FYP Dance
0a06ecfb25016d15f4f6a24c05fb903d,Workout you cant skip ,football  gym  workout  sports,Football,Sports,32,7811,358,30,34,TikTok,Workout you cant skip  football  gym  workout  sports Football Sports
0194ef974a2bef4e7566466a233831e4,How I Take Notes for Beginners ,study  learn  productivity,BookTok,Education,29,86917,3722,546,513,TikTok,How I Take Notes for Beginners  study  learn  productivity BookTok Education
1bbba07447245a0b46582ad466f7e112,If 2025 was honest ,funny  relatable  sketch,Relatable,Comedy,20,28903,1494,150,150,TikTok,If 2025 was honest  funny  relatable  sketch Relatable Comedy
64eb3e14edd3d9c895281dcaf81175f7,GRWM: Evening Edition,ootd  grwm  style  fashion,FYP,Fashion,39,51642,5566,640,616,TikTok,GRWM: Evening Edition ootd  grwm  style  fashion FYP Fashion
9a6b3bbde49f6205a108afadb3a8ded2,My Favorite Summer Apps ,tutorial  tech  ai  apps,Coding,Tech,14,88579,4941,309,600,TikTok,My Favorite Summer Apps  tutorial  tech  ai  apps Coding Tech
914c3113e03d9c5615d6ce6f22e0a8db,5-Minute Kunafa ,kitchen  street food  food  recipe,StreetFood,Food,34,226615,11187,1252,1363,TikTok,5-Minute Kunafa  kitchen  street food  food  recipe StreetFood Food
b795068dfc60ef70e10631c313530507,Build This in 10 Minutes,apps  tools  tech  ai  tutorial,FYP,Tech,39,57256,4244,433,317,TikTok,Build This in 10 Minutes apps  tools  tech  ai  tutorial FYP Tech
7482f9bab48dc0199d2c1d29526f1300,Street Koshari Taste Test,street food  kitchen  food  recipe,StreetFood,Food,24,15538,1270,166,126,TikTok,Street Koshari Taste Test street food  kitchen  food  recipe StreetFood Food
